name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Concord,New Hampshire,43.208,-71.538,2025-08-11,90.5,71.6,6.3,0.0,69,44674
Concord,New Hampshire,43.208,-71.538,2025-08-12,92.3,68.5,4.5,0.0,62,44674
Albany,New York,42.653,-73.757,2025-08-06,81.1,66.6,6.0,0.0,76,101317
Albany,New York,42.653,-73.757,2025-08-07,82.0,65.7,5.8,0.0,66,101317
Albany,New York,42.653,-73.757,2025-08-08,83.3,64.2,6.0,0.0,64,101317
Albany,New York,42.653,-73.757,2025-08-09,85.5,61.7,8.1,0.0,60,101317
Albany,New York,42.653,-73.757,2025-08-10,91.9,66.4,4.9,0.0,59,101317
Albany,New York,42.653,-73.757,2025-08-11,91.4,70.7,4.5,0.0,64,101317
Albany,New York,42.653,-73.757,2025-08-12,92.5,67.6,5.6,0.0,64,101317
Salt Lake City,Utah,40.761,-111.89,2025-08-06,98.4,64.4,12.5,0.0,12,217783
Salt Lake City,Utah,40.761,-111.89,2025-08-07,97.7,66.2,11.9,0.0,18,217783
